# This file contains the information on the "speed bonus" values for each
# type of transport in each era. It is specific to a pakset.
#
# Note that, for Simutrans-Ex, the values of all land-based transport should
# be the same, except for water transport.
#
# Pak128.Britain-Ex
# August 2009
# James E. Petts

track=1750,8,1825,10,1830,15,1835,17,1840,33,1850,40,1865,52,1880,60,1895,65,1910,67,1920,72,1930,78,1940,82,1950,84,1960,87,1970,100,1985,120,2000,150,2030,175

road=1750,8,1825,10,1830,15,1835,17,1840,33,1850,40,1865,52,1880,60,1895,65,1910,67,1920,72,1930,78,1940,82,1950,84,1960,87,1970,100,1985,120,2000,150,2030,175

monorail_track=1750,8,1825,10,1830,15,1835,17,1840,33,1850,40,1865,52,1880,60,1895,65,1910,67,1920,72,1930,78,1940,82,1950,84,1960,87,1970,100,1985,120,2000,150,2030,175

tram_track=1750,8,1825,10,1830,15,1835,17,1840,33,1850,40,1865,52,1880,60,1895,65,1910,67,1920,72,1930,78,1940,82,1950,84,1960,87,1970,100,1985,120,2000,150,2030,175

narrowgauge_track=1750,8,1825,10,1830,15,1835,17,1840,33,1850,40,1865,52,1880,60,1895,65,1910,67,1920,72,1930,78,1940,82,1950,84,1960,87,1970,100,1985,120,2000,150,2030,175
 
maglev_track=1750,8,1825,10,1830,15,1835,17,1840,33,1850,40,1865,52,1880,60,1895,65,1910,67,1920,72,1930,78,1940,82,1950,84,1960,87,1970,100,1985,120,2000,150,2030,175

water=1750,8,1933,13,1955,16,1972,18,2010,20,2025,25

air=1906,67,1920,72,1930,78,1940,82,1950,84,1960,87,1970,100,1985,120,2000,150,2030,175
